trainingLoss, validationLoss
3.0871, 1.0682
1.1752, 1.0128
1.0993, 0.9678
1.0479, 0.9340
1.0109, 0.9249
0.9767, 0.8965
0.9555, 0.8891
0.9290, 0.8849
0.9109, 0.8737
0.8925, 0.8701
0.8707, 0.8623
0.8600, 0.8590
0.8525, 0.8571
0.8372, 0.8596
0.8282, 0.8553
0.8150, 0.8504
0.8063, 0.8518
0.7995, 0.8471
0.7877, 0.8473
0.7811, 0.8472
0.7752, 0.8459
0.7653, 0.8455
0.7582, 0.8448
0.7505, 0.8438
0.7447, 0.8433
0.7369, 0.8468
0.7293, 0.8451
0.7231, 0.8462
0.7136, 0.8447
0.7092, 0.8460
Training time: 69.19 seconds
