trainingLoss, validationLoss
3.9520, 1.1967
1.2655, 1.0736
1.1465, 1.0163
1.0757, 0.9648
1.0169, 0.9378
0.9761, 0.9115
0.9408, 0.8993
0.9100, 0.8863
0.8926, 0.8741
0.8672, 0.8710
0.8514, 0.8613
0.8368, 0.8549
0.8225, 0.8523
0.8086, 0.8499
0.7929, 0.8449
0.7843, 0.8428
0.7734, 0.8399
0.7631, 0.8378
0.7533, 0.8341
0.7429, 0.8352
0.7333, 0.8306
0.7279, 0.8305
0.7181, 0.8306
0.7107, 0.8303
0.7062, 0.8299
0.6936, 0.8270
0.6897, 0.8262
0.6771, 0.8277
0.6762, 0.8271
0.6682, 0.8306
0.6626, 0.8325
0.6559, 0.8305
Training time: 96.46 seconds
