trainingLoss, validationLoss
6.4645, 1.7407
1.4816, 1.1947
1.2793, 1.1161
1.1945, 1.0628
1.1376, 1.0282
1.0825, 0.9878
1.0475, 0.9656
1.0102, 0.9449
0.9829, 0.9297
0.9628, 0.9206
0.9411, 0.9054
0.9248, 0.8938
0.9056, 0.8860
0.8878, 0.8834
0.8742, 0.8768
0.8629, 0.8687
0.8473, 0.8696
0.8427, 0.8659
0.8240, 0.8625
0.8210, 0.8598
0.8082, 0.8563
0.8001, 0.8532
0.7894, 0.8499
0.7807, 0.8485
0.7747, 0.8473
0.7642, 0.8479
0.7592, 0.8471
0.7513, 0.8448
0.7447, 0.8415
0.7367, 0.8399
0.7289, 0.8408
0.7244, 0.8434
0.7192, 0.8391
0.7131, 0.8408
0.7051, 0.8393
0.6988, 0.8389
0.6951, 0.8384
0.6905, 0.8407
0.6817, 0.8405
0.6762, 0.8415
0.6713, 0.8412
0.6679, 0.8391
Training time: 78.03 seconds
