trainingLoss, validationLoss
3.3890, 1.1939
1.2552, 1.0919
1.1671, 1.0336
1.0953, 0.9923
1.0506, 0.9659
1.0131, 0.9385
0.9839, 0.9225
0.9571, 0.9069
0.9316, 0.8965
0.9151, 0.8826
0.8953, 0.8764
0.8811, 0.8692
0.8666, 0.8604
0.8520, 0.8607
0.8440, 0.8524
0.8337, 0.8493
0.8211, 0.8446
0.8147, 0.8375
0.8041, 0.8398
0.7960, 0.8380
0.7902, 0.8339
0.7834, 0.8320
0.7753, 0.8307
0.7658, 0.8292
0.7612, 0.8290
0.7566, 0.8254
0.7487, 0.8241
0.7434, 0.8243
0.7355, 0.8255
0.7320, 0.8235
0.7290, 0.8216
0.7206, 0.8222
0.7172, 0.8223
0.7122, 0.8210
0.7083, 0.8199
0.7032, 0.8204
0.6980, 0.8204
0.6954, 0.8215
0.6905, 0.8228
0.6864, 0.8236
Training time: 124.09 seconds
