trainingLoss, validationLoss
2.7676, 1.1081
1.2146, 1.0430
1.1359, 1.0027
1.0896, 0.9789
1.0527, 0.9521
1.0292, 0.9344
0.9966, 0.9251
0.9808, 0.9025
0.9568, 0.8914
0.9411, 0.8822
0.9243, 0.8748
0.9087, 0.8687
0.8980, 0.8643
0.8859, 0.8607
0.8722, 0.8528
0.8626, 0.8499
0.8566, 0.8463
0.8456, 0.8456
0.8380, 0.8442
0.8319, 0.8390
0.8265, 0.8383
0.8177, 0.8360
0.8123, 0.8353
0.8101, 0.8329
0.7998, 0.8347
0.7960, 0.8328
0.7900, 0.8301
0.7857, 0.8302
0.7782, 0.8305
0.7740, 0.8295
0.7669, 0.8290
0.7644, 0.8299
0.7575, 0.8304
0.7573, 0.8302
0.7482, 0.8286
0.7453, 0.8300
0.7389, 0.8300
0.7363, 0.8318
0.7302, 0.8302
0.7279, 0.8329
Training time: 103.15 seconds
