trainingLoss, validationLoss
2.4921, 1.0822
1.2056, 1.0107
1.1294, 0.9625
1.0716, 0.9349
1.0303, 0.9145
0.9975, 0.8973
0.9661, 0.8831
0.9417, 0.8749
0.9279, 0.8681
0.9053, 0.8658
0.8941, 0.8542
0.8809, 0.8507
0.8645, 0.8464
0.8594, 0.8441
0.8494, 0.8435
0.8372, 0.8375
0.8260, 0.8385
0.8173, 0.8338
0.8093, 0.8360
0.8027, 0.8328
0.7904, 0.8325
0.7866, 0.8318
0.7758, 0.8302
0.7699, 0.8286
0.7615, 0.8286
0.7532, 0.8284
0.7485, 0.8314
0.7406, 0.8287
0.7303, 0.8310
0.7267, 0.8297
0.7167, 0.8310
Training time: 110.16 seconds
