trainingLoss, validationLoss
4.8416, 1.2779
1.3311, 1.1070
1.1888, 1.0289
1.0976, 0.9810
1.0186, 0.9489
0.9678, 0.9229
0.9338, 0.9074
0.9045, 0.8955
0.8870, 0.8849
0.8647, 0.8761
0.8425, 0.8678
0.8320, 0.8643
0.8138, 0.8619
0.8050, 0.8576
0.7885, 0.8552
0.7799, 0.8506
0.7676, 0.8459
0.7576, 0.8450
0.7497, 0.8450
0.7383, 0.8410
0.7306, 0.8443
0.7239, 0.8399
0.7145, 0.8386
0.7092, 0.8374
0.6992, 0.8364
0.6950, 0.8386
0.6859, 0.8358
0.6806, 0.8378
0.6734, 0.8383
0.6671, 0.8384
0.6619, 0.8383
0.6546, 0.8426
Training time: 127.89 seconds
