trainingLoss, validationLoss
2.3125, 1.0634
1.1879, 1.0085
1.1186, 0.9851
1.0730, 0.9639
1.0456, 0.9396
1.0165, 0.9237
0.9944, 0.9146
0.9729, 0.9017
0.9555, 0.8945
0.9344, 0.8843
0.9228, 0.8758
0.9097, 0.8722
0.8977, 0.8732
0.8815, 0.8642
0.8749, 0.8684
0.8611, 0.8586
0.8546, 0.8593
0.8408, 0.8582
0.8362, 0.8511
0.8232, 0.8520
0.8184, 0.8504
0.8106, 0.8545
0.8048, 0.8489
0.7942, 0.8537
0.7924, 0.8535
0.7845, 0.8475
0.7790, 0.8456
0.7726, 0.8489
0.7622, 0.8525
0.7568, 0.8487
0.7511, 0.8454
0.7474, 0.8470
0.7406, 0.8463
0.7347, 0.8467
0.7259, 0.8601
0.7234, 0.8503
Training time: 108.88 seconds
