trainingLoss, validationLoss
2.1360, 1.0711
1.1577, 1.0014
1.0813, 0.9650
1.0329, 0.9383
1.0001, 0.9168
0.9617, 0.9000
0.9426, 0.8931
0.9164, 0.8801
0.8980, 0.8692
0.8862, 0.8661
0.8704, 0.8595
0.8574, 0.8551
0.8530, 0.8534
0.8361, 0.8478
0.8276, 0.8466
0.8201, 0.8411
0.8129, 0.8397
0.8018, 0.8357
0.7959, 0.8381
0.7898, 0.8364
0.7845, 0.8344
0.7768, 0.8330
0.7689, 0.8368
0.7584, 0.8320
0.7566, 0.8337
0.7484, 0.8342
0.7453, 0.8325
0.7414, 0.8322
0.7313, 0.8314
0.7282, 0.8315
0.7213, 0.8310
0.7138, 0.8320
0.7119, 0.8332
0.7052, 0.8311
0.6989, 0.8338
0.6935, 0.8366
Training time: 164.14 seconds
