trainingLoss, validationLoss
3.3462, 1.1146
1.2382, 1.0525
1.1687, 1.0093
1.1182, 0.9810
1.0787, 0.9592
1.0431, 0.9443
1.0182, 0.9325
0.9973, 0.9201
0.9738, 0.9069
0.9558, 0.8952
0.9413, 0.8895
0.9292, 0.8828
0.9168, 0.8789
0.9018, 0.8713
0.8908, 0.8655
0.8750, 0.8610
0.8704, 0.8583
0.8647, 0.8547
0.8525, 0.8510
0.8450, 0.8504
0.8392, 0.8458
0.8306, 0.8439
0.8233, 0.8426
0.8170, 0.8419
0.8108, 0.8425
0.8022, 0.8398
0.8002, 0.8376
0.7930, 0.8373
0.7872, 0.8400
0.7834, 0.8339
0.7735, 0.8350
0.7689, 0.8353
0.7631, 0.8364
0.7550, 0.8328
0.7519, 0.8355
0.7448, 0.8352
0.7427, 0.8353
0.7363, 0.8352
0.7294, 0.8358
Training time: 104.30 seconds
