trainingLoss, validationLoss
5.2246, 1.3122
1.3923, 1.1607
1.2436, 1.0765
1.1485, 1.0249
1.0828, 0.9852
1.0327, 0.9588
0.9984, 0.9377
0.9704, 0.9254
0.9441, 0.9070
0.9230, 0.8957
0.9037, 0.8864
0.8828, 0.8783
0.8722, 0.8710
0.8601, 0.8679
0.8501, 0.8632
0.8379, 0.8600
0.8278, 0.8560
0.8194, 0.8513
0.8109, 0.8491
0.8032, 0.8455
0.7976, 0.8431
0.7873, 0.8430
0.7812, 0.8408
0.7752, 0.8382
0.7678, 0.8358
0.7613, 0.8366
0.7569, 0.8336
0.7519, 0.8353
0.7446, 0.8330
0.7405, 0.8316
0.7349, 0.8328
0.7291, 0.8305
0.7247, 0.8293
0.7197, 0.8285
0.7157, 0.8274
0.7129, 0.8272
0.7067, 0.8270
0.7009, 0.8283
0.6967, 0.8279
0.6924, 0.8269
0.6909, 0.8266
0.6865, 0.8273
0.6832, 0.8277
0.6783, 0.8274
0.6736, 0.8275
0.6733, 0.8301
Training time: 183.27 seconds
