trainingLoss, validationLoss
3.4838, 1.0870
1.1932, 1.0213
1.1161, 0.9756
1.0528, 0.9465
1.0143, 0.9323
0.9813, 0.9152
0.9610, 0.9057
0.9372, 0.8966
0.9250, 0.8827
0.9042, 0.8753
0.8895, 0.8731
0.8755, 0.8733
0.8700, 0.8684
0.8505, 0.8615
0.8373, 0.8575
0.8308, 0.8529
0.8190, 0.8556
0.8126, 0.8519
0.8059, 0.8516
0.7968, 0.8456
0.7859, 0.8441
0.7751, 0.8443
0.7693, 0.8421
0.7594, 0.8380
0.7527, 0.8440
0.7469, 0.8382
0.7394, 0.8380
0.7317, 0.8369
0.7267, 0.8345
0.7201, 0.8367
0.7110, 0.8367
0.7059, 0.8366
0.6996, 0.8369
0.6915, 0.8383
Training time: 93.40 seconds
