trainingLoss, validationLoss
5.8445, 1.5950
1.4644, 1.1873
1.3094, 1.1210
1.2386, 1.0723
1.1779, 1.0336
1.1209, 1.0049
1.0848, 0.9763
1.0470, 0.9567
1.0151, 0.9390
0.9927, 0.9236
0.9706, 0.9130
0.9503, 0.9034
0.9399, 0.8950
0.9223, 0.8894
0.9100, 0.8808
0.8952, 0.8762
0.8852, 0.8704
0.8703, 0.8687
0.8640, 0.8635
0.8505, 0.8604
0.8441, 0.8574
0.8381, 0.8551
0.8314, 0.8506
0.8243, 0.8502
0.8203, 0.8472
0.8093, 0.8465
0.8073, 0.8431
0.7980, 0.8421
0.7969, 0.8403
0.7903, 0.8396
0.7793, 0.8385
0.7761, 0.8357
0.7731, 0.8356
0.7712, 0.8358
0.7638, 0.8342
0.7614, 0.8329
0.7532, 0.8324
0.7481, 0.8322
0.7460, 0.8304
0.7417, 0.8317
0.7395, 0.8308
0.7341, 0.8303
0.7299, 0.8296
0.7281, 0.8295
0.7218, 0.8264
0.7185, 0.8287
0.7147, 0.8283
0.7114, 0.8264
0.7099, 0.8278
0.7038, 0.8282
0.7027, 0.8270
0.6977, 0.8270
0.6972, 0.8276
Training time: 126.85 seconds
