trainingLoss, validationLoss
2.2795, 1.0631
1.1997, 1.0064
1.1260, 0.9780
1.0814, 0.9538
1.0499, 0.9379
1.0179, 0.9203
0.9928, 0.9070
0.9690, 0.8952
0.9562, 0.8934
0.9407, 0.8786
0.9198, 0.8712
0.9044, 0.8664
0.8945, 0.8632
0.8827, 0.8595
0.8669, 0.8586
0.8542, 0.8553
0.8479, 0.8521
0.8383, 0.8500
0.8296, 0.8488
0.8221, 0.8441
0.8128, 0.8465
0.8024, 0.8429
0.7994, 0.8477
0.7920, 0.8445
0.7894, 0.8423
0.7791, 0.8457
0.7709, 0.8422
0.7655, 0.8434
0.7606, 0.8423
0.7526, 0.8446
0.7482, 0.8464
0.7399, 0.8530
Training time: 83.14 seconds
