trainingLoss, validationLoss
7.1609, 2.0467
1.5788, 1.2279
1.3125, 1.1446
1.2431, 1.0948
1.1747, 1.0547
1.1294, 1.0206
1.0784, 0.9914
1.0443, 0.9717
1.0092, 0.9549
0.9949, 0.9389
0.9649, 0.9270
0.9489, 0.9176
0.9346, 0.9070
0.9165, 0.8978
0.9060, 0.8914
0.8919, 0.8854
0.8819, 0.8819
0.8716, 0.8755
0.8617, 0.8735
0.8542, 0.8700
0.8463, 0.8660
0.8365, 0.8613
0.8301, 0.8588
0.8223, 0.8566
0.8157, 0.8537
0.8088, 0.8511
0.8061, 0.8490
0.7985, 0.8470
0.7914, 0.8454
0.7884, 0.8441
0.7851, 0.8434
0.7761, 0.8421
0.7723, 0.8399
0.7653, 0.8376
0.7644, 0.8355
0.7573, 0.8347
0.7544, 0.8352
0.7478, 0.8328
0.7494, 0.8320
0.7402, 0.8321
0.7389, 0.8303
0.7349, 0.8319
0.7297, 0.8301
0.7250, 0.8293
0.7214, 0.8288
0.7203, 0.8287
0.7146, 0.8280
0.7115, 0.8274
0.7079, 0.8277
0.7077, 0.8267
0.7007, 0.8251
0.6973, 0.8265
0.6967, 0.8257
0.6935, 0.8260
0.6896, 0.8266
0.6853, 0.8276
Training time: 134.23 seconds
