trainingLoss, validationLoss
4.0722, 1.1392
1.2755, 1.0701
1.1866, 1.0300
1.1431, 0.9976
1.1066, 0.9775
1.0628, 0.9535
1.0382, 0.9409
1.0129, 0.9311
0.9927, 0.9135
0.9640, 0.9044
0.9530, 0.8960
0.9273, 0.8934
0.9222, 0.8890
0.9077, 0.8801
0.8956, 0.8768
0.8896, 0.8689
0.8751, 0.8644
0.8722, 0.8636
0.8610, 0.8585
0.8522, 0.8584
0.8442, 0.8620
0.8366, 0.8546
0.8305, 0.8533
0.8217, 0.8539
0.8172, 0.8485
0.8111, 0.8492
0.8044, 0.8473
0.7970, 0.8467
0.7944, 0.8462
0.7851, 0.8440
0.7839, 0.8485
0.7780, 0.8421
0.7718, 0.8430
0.7659, 0.8440
0.7609, 0.8418
0.7570, 0.8410
0.7550, 0.8411
0.7473, 0.8414
0.7434, 0.8407
0.7401, 0.8414
0.7289, 0.8419
0.7275, 0.8410
0.7221, 0.8404
0.7150, 0.8411
0.7130, 0.8419
0.7089, 0.8431
0.7050, 0.8408
0.6955, 0.8434
Training time: 125.82 seconds
