trainingLoss, validationLoss
3.0627, 1.0765
1.1730, 1.0120
1.0981, 0.9769
1.0495, 0.9493
1.0111, 0.9308
0.9754, 0.9165
0.9533, 0.9043
0.9352, 0.8964
0.9160, 0.8838
0.8988, 0.8857
0.8819, 0.8785
0.8692, 0.8719
0.8524, 0.8680
0.8451, 0.8641
0.8301, 0.8626
0.8213, 0.8640
0.8117, 0.8587
0.8003, 0.8594
0.7889, 0.8577
0.7798, 0.8552
0.7745, 0.8530
0.7665, 0.8523
0.7577, 0.8512
0.7496, 0.8501
0.7375, 0.8474
0.7347, 0.8481
0.7262, 0.8511
0.7190, 0.8511
0.7122, 0.8489
0.7043, 0.8489
Training time: 80.33 seconds
