trainingLoss, validationLoss
5.5546, 1.5809
1.4058, 1.1553
1.2349, 1.0872
1.1594, 1.0405
1.0952, 1.0030
1.0500, 0.9783
1.0065, 0.9573
0.9801, 0.9414
0.9558, 0.9286
0.9330, 0.9138
0.9104, 0.9047
0.8949, 0.8986
0.8838, 0.8892
0.8651, 0.8821
0.8524, 0.8760
0.8401, 0.8746
0.8277, 0.8680
0.8186, 0.8659
0.8057, 0.8609
0.7969, 0.8583
0.7901, 0.8569
0.7827, 0.8522
0.7730, 0.8513
0.7638, 0.8498
0.7580, 0.8479
0.7490, 0.8446
0.7417, 0.8464
0.7335, 0.8444
0.7322, 0.8418
0.7245, 0.8413
0.7166, 0.8414
0.7095, 0.8397
0.7057, 0.8388
0.6981, 0.8390
0.6913, 0.8399
0.6874, 0.8383
0.6827, 0.8391
0.6774, 0.8391
0.6721, 0.8402
0.6672, 0.8397
0.6635, 0.8387
Training time: 104.91 seconds
