trainingLoss, validationLoss
2.4515, 1.0831
1.1724, 1.0140
1.0892, 0.9791
1.0427, 0.9502
1.0055, 0.9279
0.9747, 0.9159
0.9486, 0.9094
0.9242, 0.8910
0.9066, 0.8760
0.8854, 0.8736
0.8766, 0.8637
0.8627, 0.8579
0.8507, 0.8550
0.8400, 0.8535
0.8305, 0.8479
0.8184, 0.8463
0.8112, 0.8439
0.8037, 0.8410
0.7954, 0.8395
0.7875, 0.8392
0.7815, 0.8359
0.7740, 0.8377
0.7633, 0.8346
0.7599, 0.8349
0.7530, 0.8363
0.7436, 0.8341
0.7396, 0.8335
0.7288, 0.8339
0.7231, 0.8314
0.7200, 0.8349
0.7111, 0.8330
0.7051, 0.8340
0.6972, 0.8375
0.6944, 0.8343
Training time: 148.15 seconds
