trainingLoss, validationLoss
1.5630, 0.9658
0.9647, 0.8714
0.8809, 0.8411
0.8467, 0.8301
0.8292, 0.8230
0.8166, 0.8174
0.8084, 0.8118
0.8017, 0.8087
0.7969, 0.8057
0.7921, 0.8010
0.7871, 0.7974
0.7813, 0.7933
0.7760, 0.7893
0.7696, 0.7852
0.7646, 0.7834
0.7595, 0.7828
0.7549, 0.7814
0.7498, 0.7809
0.7451, 0.7803
0.7403, 0.7793
0.7355, 0.7781
0.7290, 0.7774
0.7245, 0.7783
0.7185, 0.7744
0.7130, 0.7731
0.7079, 0.7725
0.7031, 0.7708
0.6988, 0.7704
0.6941, 0.7710
0.6906, 0.7692
0.6860, 0.7699
0.6830, 0.7687
0.6780, 0.7691
0.6741, 0.7687
0.6713, 0.7685
0.6670, 0.7705
0.6641, 0.7708
0.6610, 0.7705
0.6577, 0.7688
0.6548, 0.7705
Training time: 1279.25 seconds
