trainingLoss, validationLoss
1.3496, 1.0093
1.0382, 0.9113
0.9511, 0.8732
0.9016, 0.8564
0.8726, 0.8453
0.8530, 0.8345
0.8393, 0.8340
0.8287, 0.8247
0.8203, 0.8213
0.8124, 0.8181
0.8066, 0.8152
0.8012, 0.8146
0.7963, 0.8123
0.7917, 0.8092
0.7873, 0.8085
0.7833, 0.8096
0.7793, 0.8082
0.7756, 0.8059
0.7711, 0.8046
0.7669, 0.8031
0.7616, 0.8026
0.7572, 0.8013
0.7524, 0.8015
0.7477, 0.8008
0.7424, 0.7981
0.7380, 0.7987
0.7325, 0.8004
0.7281, 0.7992
0.7231, 0.7991
0.7180, 0.8004
Training time: 793.97 seconds
