trainingLoss, validationLoss
1.2781, 0.8929
0.9000, 0.8372
0.8472, 0.8244
0.8259, 0.8146
0.8141, 0.8090
0.8051, 0.8015
0.7966, 0.7957
0.7872, 0.7899
0.7778, 0.7856
0.7698, 0.7822
0.7623, 0.7796
0.7539, 0.7797
0.7464, 0.7744
0.7382, 0.7726
0.7307, 0.7712
0.7234, 0.7687
0.7168, 0.7666
0.7103, 0.7641
0.7049, 0.7633
0.6993, 0.7630
0.6944, 0.7619
0.6899, 0.7592
0.6857, 0.7612
0.6802, 0.7594
0.6773, 0.7587
0.6729, 0.7605
0.6691, 0.7601
0.6651, 0.7606
0.6620, 0.7598
0.6587, 0.7606
Training time: 339.89 seconds
