trainingLoss, validationLoss
1.1542, 0.8617
0.8646, 0.8322
0.8337, 0.8161
0.8164, 0.8082
0.8047, 0.7999
0.7933, 0.7906
0.7817, 0.7836
0.7711, 0.7778
0.7609, 0.7737
0.7523, 0.7695
0.7440, 0.7675
0.7370, 0.7644
0.7306, 0.7625
0.7235, 0.7610
0.7176, 0.7597
0.7122, 0.7583
0.7064, 0.7559
0.7012, 0.7563
0.6969, 0.7527
0.6927, 0.7552
0.6882, 0.7550
0.6852, 0.7525
0.6812, 0.7515
0.6784, 0.7528
0.6751, 0.7522
0.6725, 0.7526
0.6703, 0.7509
0.6673, 0.7530
0.6652, 0.7509
0.6628, 0.7515
0.6601, 0.7541
0.6590, 0.7533
Training time: 1136.85 seconds
