trainingLoss, validationLoss
1.9262, 1.0257
1.0499, 0.9105
0.9408, 0.8656
0.8843, 0.8431
0.8517, 0.8324
0.8328, 0.8251
0.8214, 0.8215
0.8130, 0.8169
0.8057, 0.8135
0.8006, 0.8106
0.7952, 0.8077
0.7912, 0.8055
0.7868, 0.8042
0.7829, 0.8019
0.7784, 0.7999
0.7739, 0.7977
0.7697, 0.7956
0.7651, 0.7937
0.7593, 0.7920
0.7538, 0.7901
0.7479, 0.7894
0.7411, 0.7875
0.7345, 0.7854
0.7286, 0.7849
0.7230, 0.7850
0.7170, 0.7834
0.7115, 0.7835
0.7055, 0.7845
0.6998, 0.7840
0.6943, 0.7832
0.6898, 0.7830
0.6850, 0.7829
0.6799, 0.7831
0.6755, 0.7824
0.6706, 0.7833
0.6657, 0.7832
0.6624, 0.7829
0.6585, 0.7852
0.6546, 0.7849
Training time: 756.46 seconds
