trainingLoss, validationLoss
1.4559, 1.0305
1.0598, 0.9279
0.9611, 0.8789
0.9046, 0.8546
0.8702, 0.8418
0.8508, 0.8349
0.8385, 0.8299
0.8291, 0.8260
0.8212, 0.8239
0.8148, 0.8192
0.8093, 0.8177
0.8041, 0.8161
0.8008, 0.8159
0.7965, 0.8123
0.7930, 0.8123
0.7897, 0.8103
0.7865, 0.8107
0.7837, 0.8119
0.7808, 0.8098
0.7783, 0.8091
0.7753, 0.8087
0.7733, 0.8085
0.7700, 0.8081
0.7674, 0.8081
0.7639, 0.8090
0.7611, 0.8076
0.7577, 0.8072
0.7537, 0.8070
0.7502, 0.8058
0.7461, 0.8043
0.7424, 0.8064
0.7377, 0.8032
0.7346, 0.8039
0.7300, 0.8046
0.7255, 0.8037
0.7219, 0.8054
0.7187, 0.8041
Training time: 876.56 seconds
