trainingLoss, validationLoss
1.1055, 0.8631
0.8512, 0.8308
0.8260, 0.8180
0.8125, 0.8076
0.7995, 0.7982
0.7909, 0.7929
0.7834, 0.7892
0.7761, 0.7830
0.7679, 0.7783
0.7592, 0.7725
0.7507, 0.7691
0.7419, 0.7657
0.7355, 0.7626
0.7297, 0.7628
0.7244, 0.7616
0.7195, 0.7579
0.7151, 0.7568
0.7113, 0.7565
0.7077, 0.7562
0.7041, 0.7545
0.7005, 0.7525
0.6981, 0.7545
0.6939, 0.7551
0.6918, 0.7553
0.6891, 0.7536
0.6859, 0.7522
0.6834, 0.7555
0.6815, 0.7529
0.6795, 0.7548
0.6773, 0.7540
0.6750, 0.7522
Training time: 1123.40 seconds
