trainingLoss, validationLoss
1.5961, 1.0054
1.0167, 0.8990
0.9245, 0.8553
0.8793, 0.8407
0.8553, 0.8313
0.8410, 0.8248
0.8313, 0.8213
0.8233, 0.8167
0.8161, 0.8123
0.8092, 0.8077
0.8030, 0.8036
0.7973, 0.8002
0.7930, 0.7981
0.7890, 0.7945
0.7851, 0.7920
0.7808, 0.7887
0.7775, 0.7881
0.7733, 0.7846
0.7690, 0.7838
0.7652, 0.7817
0.7612, 0.7814
0.7570, 0.7792
0.7524, 0.7791
0.7478, 0.7775
0.7437, 0.7770
0.7391, 0.7760
0.7352, 0.7761
0.7300, 0.7756
0.7258, 0.7746
0.7217, 0.7754
0.7173, 0.7738
0.7137, 0.7729
0.7101, 0.7730
0.7057, 0.7734
0.7024, 0.7737
0.6980, 0.7726
0.6948, 0.7728
0.6918, 0.7723
0.6887, 0.7718
0.6849, 0.7719
0.6820, 0.7717
0.6783, 0.7727
0.6759, 0.7724
0.6726, 0.7732
0.6708, 0.7714
0.6680, 0.7734
0.6649, 0.7724
0.6631, 0.7728
0.6606, 0.7726
0.6588, 0.7743
Training time: 1415.37 seconds
