trainingLoss, validationLoss
1.3246, 0.9839
0.9950, 0.8930
0.9070, 0.8538
0.8640, 0.8408
0.8427, 0.8325
0.8314, 0.8264
0.8221, 0.8236
0.8157, 0.8201
0.8096, 0.8166
0.8052, 0.8164
0.8014, 0.8133
0.7978, 0.8120
0.7938, 0.8106
0.7909, 0.8104
0.7877, 0.8087
0.7839, 0.8083
0.7792, 0.8065
0.7745, 0.8031
0.7695, 0.8016
0.7641, 0.7995
0.7580, 0.7978
0.7514, 0.7943
0.7460, 0.7947
0.7400, 0.7920
0.7344, 0.7911
0.7295, 0.7909
0.7237, 0.7907
0.7187, 0.7896
0.7141, 0.7893
0.7095, 0.7901
0.7052, 0.7905
0.7002, 0.7916
0.6961, 0.7927
0.6923, 0.7921
Training time: 1561.49 seconds
