trainingLoss, validationLoss
4.9044, 1.5584
1.3897, 1.1182
1.1876, 1.0302
1.1094, 0.9866
1.0590, 0.9534
1.0197, 0.9309
0.9857, 0.9131
0.9578, 0.8983
0.9397, 0.8880
0.9184, 0.8779
0.9005, 0.8716
0.8903, 0.8632
0.8704, 0.8569
0.8566, 0.8528
0.8394, 0.8499
0.8290, 0.8433
0.8156, 0.8369
0.8004, 0.8339
0.7886, 0.8318
0.7776, 0.8300
0.7678, 0.8239
0.7602, 0.8203
0.7498, 0.8191
0.7410, 0.8159
0.7333, 0.8146
0.7249, 0.8149
0.7179, 0.8127
0.7100, 0.8094
0.7016, 0.8106
0.6925, 0.8087
0.6848, 0.8080
0.6803, 0.8075
0.6711, 0.8073
0.6641, 0.8110
0.6573, 0.8088
0.6522, 0.8072
0.6481, 0.8078
0.6403, 0.8095
0.6365, 0.8104
0.6308, 0.8114
0.6241, 0.8120
Training time: 100.26 seconds
