trainLoss: 5.7379, valLoss: 1.1875
trainLoss: 1.3608, valLoss: 1.0964
trainLoss: 1.2845, valLoss: 1.0522
trainLoss: 1.2306, valLoss: 1.0180
trainLoss: 1.1910, valLoss: 0.9894
trainLoss: 1.1559, valLoss: 0.9699
trainLoss: 1.1303, valLoss: 0.9544
trainLoss: 1.1073, valLoss: 0.9385
trainLoss: 1.0893, valLoss: 0.9350
trainLoss: 1.0815, valLoss: 0.9182
trainLoss: 1.0616, valLoss: 0.9095
trainLoss: 1.0519, valLoss: 0.9084
trainLoss: 1.0376, valLoss: 0.9018
trainLoss: 1.0293, valLoss: 0.8912
trainLoss: 1.0201, valLoss: 0.8892
trainLoss: 1.0127, valLoss: 0.8809
trainLoss: 1.0014, valLoss: 0.8820
trainLoss: 0.9955, valLoss: 0.8756
trainLoss: 0.9833, valLoss: 0.8780
trainLoss: 0.9811, valLoss: 0.8689
trainLoss: 0.9748, valLoss: 0.8682
trainLoss: 0.9743, valLoss: 0.8605
trainLoss: 0.9629, valLoss: 0.8576
trainLoss: 0.9580, valLoss: 0.8575
trainLoss: 0.9464, valLoss: 0.8554
trainLoss: 0.9461, valLoss: 0.8509
trainLoss: 0.9363, valLoss: 0.8504
trainLoss: 0.9303, valLoss: 0.8487
trainLoss: 0.9255, valLoss: 0.8473
trainLoss: 0.9170, valLoss: 0.8514
trainLoss: 0.9107, valLoss: 0.8521
trainLoss: 0.9056, valLoss: 0.8523
trainLoss: 0.9051, valLoss: 0.8462
trainLoss: 0.8980, valLoss: 0.8536
trainLoss: 0.8916, valLoss: 0.8415
trainLoss: 0.8908, valLoss: 0.8444
trainLoss: 0.8839, valLoss: 0.8427
trainLoss: 0.8766, valLoss: 0.8459
trainLoss: 0.8717, valLoss: 0.8400
trainLoss: 0.8662, valLoss: 0.8377
trainLoss: 0.8585, valLoss: 0.8378
trainLoss: 0.8580, valLoss: 0.8372
trainLoss: 0.8462, valLoss: 0.8357
trainLoss: 0.8452, valLoss: 0.8344
trainLoss: 0.8372, valLoss: 0.8342
trainLoss: 0.8341, valLoss: 0.8341
trainLoss: 0.8263, valLoss: 0.8351
trainLoss: 0.8219, valLoss: 0.8355
trainLoss: 0.8128, valLoss: 0.8309
trainLoss: 0.8061, valLoss: 0.8332
trainLoss: 0.8005, valLoss: 0.8328
trainLoss: 0.7968, valLoss: 0.8304
trainLoss: 0.7888, valLoss: 0.8299
trainLoss: 0.7833, valLoss: 0.8301
trainLoss: 0.7800, valLoss: 0.8304
trainLoss: 0.7703, valLoss: 0.8307
trainLoss: 0.7664, valLoss: 0.8396
trainLoss: 0.7634, valLoss: 0.8371
Training time: 48.72 seconds
