trainingLoss, validationLoss
2.3690, 1.0740
1.1851, 0.9886
1.1131, 0.9567
1.0682, 0.9270
1.0402, 0.9140
1.0221, 0.8974
0.9964, 0.8840
0.9820, 0.8833
0.9620, 0.8902
0.9468, 0.8714
0.9340, 0.8641
0.9171, 0.8655
0.9030, 0.8579
0.8979, 0.8511
0.8800, 0.8485
0.8736, 0.8455
0.8624, 0.8409
0.8492, 0.8404
0.8361, 0.8412
0.8314, 0.8390
0.8207, 0.8361
0.8124, 0.8366
0.8051, 0.8348
0.7943, 0.8346
0.7890, 0.8306
0.7815, 0.8454
0.7695, 0.8320
0.7633, 0.8341
0.7528, 0.8304
0.7458, 0.8301
0.7407, 0.8374
0.7320, 0.8365
0.7215, 0.8342
0.7166, 0.8399
0.7119, 0.8433
Training time: 110.62 seconds
