trainingLoss, validationLoss
4.3077, 1.2263
1.2555, 1.0364
1.1221, 0.9723
1.0397, 0.9384
0.9903, 0.9157
0.9554, 0.8987
0.9288, 0.8858
0.9024, 0.8752
0.8800, 0.8695
0.8631, 0.8568
0.8415, 0.8519
0.8281, 0.8502
0.8107, 0.8409
0.7952, 0.8374
0.7820, 0.8312
0.7706, 0.8274
0.7562, 0.8240
0.7433, 0.8208
0.7300, 0.8210
0.7208, 0.8157
0.7086, 0.8163
0.7001, 0.8141
0.6874, 0.8139
0.6783, 0.8106
0.6704, 0.8115
0.6632, 0.8138
0.6536, 0.8084
0.6484, 0.8090
0.6403, 0.8106
0.6339, 0.8126
0.6266, 0.8123
0.6182, 0.8144
Training time: 119.01 seconds
