trainLoss: 10.4922, valLoss: 6.2233
trainLoss: 3.8206, valLoss: 2.2377
trainLoss: 1.8427, valLoss: 1.4288
trainLoss: 1.3769, valLoss: 1.1973
trainLoss: 1.2287, valLoss: 1.1088
trainLoss: 1.1533, valLoss: 1.0599
trainLoss: 1.1093, valLoss: 1.0267
trainLoss: 1.0696, valLoss: 1.0027
trainLoss: 1.0474, valLoss: 0.9827
trainLoss: 1.0151, valLoss: 0.9662
trainLoss: 1.0018, valLoss: 0.9508
trainLoss: 0.9832, valLoss: 0.9410
trainLoss: 0.9634, valLoss: 0.9284
trainLoss: 0.9497, valLoss: 0.9202
trainLoss: 0.9389, valLoss: 0.9120
trainLoss: 0.9267, valLoss: 0.9059
trainLoss: 0.9132, valLoss: 0.8978
trainLoss: 0.9060, valLoss: 0.8924
trainLoss: 0.8973, valLoss: 0.8862
trainLoss: 0.8856, valLoss: 0.8817
trainLoss: 0.8762, valLoss: 0.8775
trainLoss: 0.8684, valLoss: 0.8740
trainLoss: 0.8612, valLoss: 0.8706
trainLoss: 0.8545, valLoss: 0.8674
trainLoss: 0.8442, valLoss: 0.8651
trainLoss: 0.8378, valLoss: 0.8612
trainLoss: 0.8295, valLoss: 0.8584
trainLoss: 0.8219, valLoss: 0.8564
trainLoss: 0.8169, valLoss: 0.8553
trainLoss: 0.8097, valLoss: 0.8497
trainLoss: 0.8033, valLoss: 0.8512
trainLoss: 0.7972, valLoss: 0.8493
trainLoss: 0.7896, valLoss: 0.8458
trainLoss: 0.7873, valLoss: 0.8446
trainLoss: 0.7812, valLoss: 0.8446
trainLoss: 0.7741, valLoss: 0.8425
trainLoss: 0.7663, valLoss: 0.8406
trainLoss: 0.7634, valLoss: 0.8410
trainLoss: 0.7576, valLoss: 0.8407
trainLoss: 0.7475, valLoss: 0.8367
trainLoss: 0.7458, valLoss: 0.8381
trainLoss: 0.7391, valLoss: 0.8353
trainLoss: 0.7337, valLoss: 0.8360
trainLoss: 0.7277, valLoss: 0.8330
trainLoss: 0.7248, valLoss: 0.8361
trainLoss: 0.7179, valLoss: 0.8356
trainLoss: 0.7150, valLoss: 0.8319
trainLoss: 0.7120, valLoss: 0.8331
trainLoss: 0.7046, valLoss: 0.8317
trainLoss: 0.7009, valLoss: 0.8316
trainLoss: 0.6942, valLoss: 0.8313
trainLoss: 0.6912, valLoss: 0.8304
trainLoss: 0.6855, valLoss: 0.8308
trainLoss: 0.6811, valLoss: 0.8311
trainLoss: 0.6785, valLoss: 0.8286
trainLoss: 0.6731, valLoss: 0.8297
trainLoss: 0.6687, valLoss: 0.8298
trainLoss: 0.6650, valLoss: 0.8288
trainLoss: 0.6599, valLoss: 0.8296
trainLoss: 0.6545, valLoss: 0.8294
Training time: 44.28 seconds
