trainingLoss, validationLoss
7.1378, 2.1427
1.6558, 1.2388
1.3376, 1.1301
1.2425, 1.0675
1.1758, 1.0268
1.1267, 0.9964
1.0930, 0.9700
1.0588, 0.9516
1.0297, 0.9367
0.9996, 0.9173
0.9828, 0.9058
0.9622, 0.8969
0.9467, 0.8863
0.9328, 0.8778
0.9155, 0.8717
0.9056, 0.8666
0.8910, 0.8605
0.8809, 0.8565
0.8729, 0.8532
0.8615, 0.8483
0.8500, 0.8440
0.8420, 0.8398
0.8342, 0.8358
0.8234, 0.8347
0.8140, 0.8301
0.8081, 0.8278
0.7973, 0.8278
0.7913, 0.8251
0.7850, 0.8223
0.7795, 0.8204
0.7688, 0.8193
0.7581, 0.8191
0.7589, 0.8166
0.7502, 0.8147
0.7388, 0.8144
0.7391, 0.8127
0.7316, 0.8115
0.7274, 0.8131
0.7209, 0.8098
0.7141, 0.8103
0.7086, 0.8108
0.7041, 0.8086
0.6995, 0.8089
0.6922, 0.8083
0.6888, 0.8086
0.6807, 0.8099
0.6771, 0.8091
0.6715, 0.8085
0.6695, 0.8083
Training time: 118.00 seconds
