trainingLoss, validationLoss
3.0863, 1.0540
1.1579, 0.9717
1.0777, 0.9401
1.0268, 0.9260
0.9902, 0.8994
0.9649, 0.8867
0.9380, 0.8789
0.9231, 0.8745
0.9023, 0.8653
0.8864, 0.8600
0.8766, 0.8616
0.8635, 0.8558
0.8504, 0.8475
0.8388, 0.8495
0.8283, 0.8400
0.8170, 0.8381
0.8091, 0.8355
0.8015, 0.8345
0.7895, 0.8313
0.7770, 0.8299
0.7717, 0.8287
0.7618, 0.8266
0.7516, 0.8268
0.7388, 0.8256
0.7349, 0.8271
0.7235, 0.8218
0.7136, 0.8255
0.7053, 0.8264
0.6974, 0.8268
0.6875, 0.8241
0.6784, 0.8224
Training time: 88.32 seconds
