trainingLoss, validationLoss
3.1695, 1.1082
1.1944, 1.0244
1.1208, 0.9754
1.0704, 0.9500
1.0379, 0.9271
1.0084, 0.9192
0.9902, 0.9016
0.9745, 0.9001
0.9572, 0.8876
0.9411, 0.8835
0.9246, 0.8707
0.9133, 0.8698
0.8985, 0.8626
0.8874, 0.8586
0.8764, 0.8513
0.8682, 0.8481
0.8594, 0.8451
0.8494, 0.8429
0.8369, 0.8362
0.8291, 0.8405
0.8208, 0.8323
0.8151, 0.8281
0.8075, 0.8284
0.7997, 0.8294
0.7878, 0.8310
0.7805, 0.8215
0.7719, 0.8199
0.7665, 0.8242
0.7563, 0.8187
0.7485, 0.8211
0.7404, 0.8176
0.7349, 0.8178
0.7275, 0.8168
0.7171, 0.8165
0.7142, 0.8168
0.7071, 0.8185
0.7005, 0.8183
0.6944, 0.8185
0.6863, 0.8214
Training time: 115.48 seconds
