trainingLoss, validationLoss
1.2766, 0.8925
0.8968, 0.8353
0.8451, 0.8233
0.8258, 0.8144
0.8134, 0.8083
0.8047, 0.8006
0.7954, 0.7931
0.7854, 0.7864
0.7764, 0.7825
0.7674, 0.7796
0.7593, 0.7761
0.7514, 0.7728
0.7436, 0.7717
0.7367, 0.7687
0.7298, 0.7696
0.7234, 0.7672
0.7170, 0.7659
0.7109, 0.7652
0.7050, 0.7632
0.7001, 0.7634
0.6948, 0.7628
0.6901, 0.7616
0.6851, 0.7627
0.6805, 0.7620
0.6763, 0.7603
0.6719, 0.7624
0.6678, 0.7638
0.6649, 0.7632
0.6618, 0.7616
0.6583, 0.7624
Training time: 828.17 seconds
