trainingLoss, validationLoss
1.3390, 0.9952
1.0383, 0.9060
0.9519, 0.8629
0.9000, 0.8470
0.8712, 0.8344
0.8534, 0.8279
0.8389, 0.8234
0.8282, 0.8198
0.8209, 0.8179
0.8148, 0.8186
0.8081, 0.8145
0.8032, 0.8117
0.7984, 0.8100
0.7954, 0.8085
0.7912, 0.8076
0.7874, 0.8085
0.7842, 0.8095
0.7803, 0.8077
0.7771, 0.8055
0.7728, 0.8051
0.7687, 0.8057
0.7642, 0.8056
0.7600, 0.8021
0.7545, 0.8016
0.7497, 0.8021
0.7449, 0.8005
0.7394, 0.7981
0.7353, 0.8004
0.7297, 0.8021
0.7250, 0.8006
0.7199, 0.7976
0.7154, 0.8006
0.7110, 0.8021
0.7062, 0.8015
0.7020, 0.8032
0.6974, 0.8066
Training time: 1079.69 seconds
