trainingLoss, validationLoss
1.5703, 0.9631
0.9796, 0.8678
0.8901, 0.8372
0.8506, 0.8257
0.8314, 0.8162
0.8185, 0.8104
0.8086, 0.8052
0.8010, 0.8021
0.7949, 0.7963
0.7887, 0.7939
0.7830, 0.7900
0.7765, 0.7854
0.7700, 0.7819
0.7634, 0.7797
0.7575, 0.7772
0.7520, 0.7756
0.7466, 0.7746
0.7413, 0.7737
0.7359, 0.7728
0.7302, 0.7722
0.7246, 0.7720
0.7193, 0.7708
0.7131, 0.7699
0.7072, 0.7692
0.7013, 0.7682
0.6962, 0.7672
0.6901, 0.7681
0.6850, 0.7670
0.6803, 0.7667
0.6751, 0.7668
0.6707, 0.7667
0.6652, 0.7675
0.6624, 0.7682
0.6581, 0.7686
Training time: 1484.39 seconds
