trainingLoss, validationLoss
1.2892, 0.9727
0.9856, 0.8879
0.9085, 0.8509
0.8696, 0.8367
0.8509, 0.8285
0.8385, 0.8225
0.8289, 0.8200
0.8213, 0.8151
0.8150, 0.8128
0.8095, 0.8099
0.8047, 0.8089
0.8008, 0.8055
0.7959, 0.8056
0.7918, 0.8032
0.7867, 0.7990
0.7804, 0.7967
0.7748, 0.7933
0.7686, 0.7907
0.7628, 0.7868
0.7576, 0.7853
0.7521, 0.7834
0.7469, 0.7828
0.7418, 0.7824
0.7363, 0.7842
0.7321, 0.7817
0.7269, 0.7818
0.7211, 0.7820
0.7163, 0.7824
0.7112, 0.7839
0.7066, 0.7840
Training time: 1343.19 seconds
