trainingLoss, validationLoss
1.5348, 1.0060
1.0074, 0.8936
0.9117, 0.8509
0.8672, 0.8339
0.8466, 0.8266
0.8345, 0.8226
0.8277, 0.8203
0.8199, 0.8142
0.8133, 0.8113
0.8077, 0.8068
0.8027, 0.8037
0.7982, 0.8006
0.7943, 0.7972
0.7902, 0.7953
0.7863, 0.7915
0.7827, 0.7895
0.7790, 0.7866
0.7753, 0.7845
0.7711, 0.7841
0.7677, 0.7807
0.7640, 0.7797
0.7597, 0.7774
0.7556, 0.7777
0.7517, 0.7766
0.7480, 0.7757
0.7432, 0.7742
0.7388, 0.7727
0.7347, 0.7722
0.7304, 0.7714
0.7262, 0.7706
0.7223, 0.7698
0.7186, 0.7691
0.7151, 0.7681
0.7111, 0.7678
0.7080, 0.7675
0.7048, 0.7678
0.7015, 0.7674
0.6981, 0.7682
0.6955, 0.7671
0.6923, 0.7671
0.6896, 0.7667
0.6868, 0.7664
0.6840, 0.7666
0.6818, 0.7664
0.6787, 0.7659
0.6758, 0.7657
0.6743, 0.7668
0.6713, 0.7660
0.6687, 0.7672
0.6669, 0.7657
0.6642, 0.7660
Training time: 1936.72 seconds
