trainingLoss, validationLoss
1.4762, 1.0295
1.0551, 0.9227
0.9622, 0.8767
0.9100, 0.8504
0.8776, 0.8393
0.8583, 0.8322
0.8451, 0.8261
0.8361, 0.8246
0.8286, 0.8205
0.8224, 0.8172
0.8170, 0.8151
0.8123, 0.8131
0.8083, 0.8111
0.8046, 0.8104
0.8014, 0.8093
0.7987, 0.8085
0.7960, 0.8084
0.7927, 0.8071
0.7901, 0.8068
0.7875, 0.8066
0.7843, 0.8060
0.7818, 0.8074
0.7795, 0.8064
0.7762, 0.8077
0.7729, 0.8047
0.7694, 0.8058
0.7655, 0.8039
0.7618, 0.8036
0.7578, 0.8015
0.7536, 0.7995
0.7492, 0.7987
0.7451, 0.7982
0.7405, 0.7970
0.7359, 0.7971
0.7323, 0.7960
0.7277, 0.7979
0.7235, 0.7979
0.7204, 0.7979
0.7168, 0.7980
0.7124, 0.7990
Training time: 1118.27 seconds
