trainingLoss, validationLoss
3.9679, 1.2224
1.2487, 1.0394
1.1172, 0.9756
1.0459, 0.9378
0.9922, 0.9141
0.9480, 0.8944
0.9206, 0.8803
0.8916, 0.8705
0.8706, 0.8590
0.8486, 0.8566
0.8283, 0.8412
0.8122, 0.8361
0.7984, 0.8310
0.7830, 0.8261
0.7664, 0.8270
0.7551, 0.8169
0.7412, 0.8155
0.7282, 0.8153
0.7159, 0.8121
0.7054, 0.8076
0.6992, 0.8097
0.6872, 0.8082
0.6766, 0.8085
0.6690, 0.8047
0.6604, 0.8082
0.6522, 0.8095
0.6472, 0.8039
0.6369, 0.8058
0.6340, 0.8030
0.6270, 0.8046
0.6200, 0.8066
0.6141, 0.8064
0.6079, 0.8084
0.6031, 0.8112
Training time: 130.90 seconds
