trainingLoss, validationLoss
6.2007, 1.9878
1.5707, 1.2560
1.3237, 1.1438
1.2243, 1.0811
1.1641, 1.0315
1.1114, 0.9944
1.0737, 0.9690
1.0416, 0.9472
1.0101, 0.9336
0.9965, 0.9183
0.9740, 0.9099
0.9562, 0.8990
0.9348, 0.8894
0.9216, 0.8832
0.9089, 0.8753
0.8941, 0.8715
0.8839, 0.8648
0.8740, 0.8585
0.8655, 0.8553
0.8547, 0.8508
0.8420, 0.8479
0.8360, 0.8458
0.8274, 0.8410
0.8178, 0.8394
0.8112, 0.8350
0.8046, 0.8345
0.7972, 0.8298
0.7889, 0.8295
0.7849, 0.8245
0.7724, 0.8238
0.7696, 0.8237
0.7614, 0.8224
0.7557, 0.8185
0.7516, 0.8190
0.7453, 0.8167
0.7361, 0.8140
0.7347, 0.8152
0.7255, 0.8133
0.7207, 0.8129
0.7176, 0.8094
0.7091, 0.8089
0.7066, 0.8072
0.7020, 0.8114
0.6953, 0.8061
0.6907, 0.8070
0.6882, 0.8055
0.6810, 0.8051
0.6774, 0.8040
0.6722, 0.8042
0.6691, 0.8033
0.6639, 0.8044
0.6591, 0.8029
0.6569, 0.8022
0.6478, 0.8017
0.6469, 0.8038
0.6468, 0.8032
0.6399, 0.8044
0.6380, 0.8043
0.6348, 0.8045
Training time: 103.82 seconds
