trainingLoss, validationLoss
3.1333, 1.1686
1.2222, 1.0698
1.1306, 1.0099
1.0838, 0.9774
1.0418, 0.9490
1.0164, 0.9296
0.9957, 0.9140
0.9761, 0.9034
0.9575, 0.8967
0.9400, 0.8905
0.9293, 0.8744
0.9175, 0.8739
0.9022, 0.8634
0.8957, 0.8599
0.8807, 0.8586
0.8726, 0.8539
0.8651, 0.8494
0.8543, 0.8502
0.8471, 0.8435
0.8351, 0.8387
0.8291, 0.8386
0.8236, 0.8346
0.8151, 0.8336
0.8061, 0.8316
0.7980, 0.8304
0.7977, 0.8297
0.7857, 0.8273
0.7805, 0.8253
0.7687, 0.8252
0.7648, 0.8231
0.7551, 0.8228
0.7492, 0.8226
0.7415, 0.8203
0.7323, 0.8211
0.7258, 0.8188
0.7184, 0.8190
0.7125, 0.8180
0.7038, 0.8176
0.6993, 0.8178
0.6920, 0.8153
0.6869, 0.8177
0.6838, 0.8162
0.6721, 0.8174
0.6675, 0.8163
0.6636, 0.8171
Training time: 95.92 seconds
