trainingLoss, validationLoss
1.7206, 1.0445
1.1078, 0.9865
1.0449, 0.9399
1.0093, 0.9194
0.9789, 0.8979
0.9486, 0.9007
0.9316, 0.8733
0.9098, 0.8624
0.8897, 0.8534
0.8805, 0.8556
0.8644, 0.8422
0.8502, 0.8544
0.8364, 0.8372
0.8266, 0.8416
0.8145, 0.8300
0.8003, 0.8239
0.7866, 0.8252
0.7727, 0.8216
0.7633, 0.8162
0.7486, 0.8131
0.7353, 0.8193
0.7278, 0.8148
0.7149, 0.8182
0.7040, 0.8154
0.6947, 0.8125
0.6831, 0.8150
0.6736, 0.8141
0.6629, 0.8160
0.6545, 0.8245
0.6449, 0.8288
Training time: 146.66 seconds
