trainingLoss, validationLoss
1.8824, 1.0427
1.1187, 0.9687
1.0510, 0.9435
1.0132, 0.9192
0.9737, 0.9022
0.9495, 0.8901
0.9282, 0.8764
0.9068, 0.8687
0.8911, 0.8630
0.8744, 0.8554
0.8602, 0.8497
0.8524, 0.8466
0.8397, 0.8509
0.8293, 0.8362
0.8179, 0.8339
0.8068, 0.8296
0.7975, 0.8298
0.7895, 0.8250
0.7809, 0.8246
0.7722, 0.8195
0.7631, 0.8237
0.7491, 0.8180
0.7428, 0.8195
0.7327, 0.8155
0.7230, 0.8123
0.7126, 0.8152
0.7056, 0.8152
0.6975, 0.8121
0.6862, 0.8123
0.6805, 0.8137
0.6751, 0.8128
0.6664, 0.8187
0.6597, 0.8164
Training time: 148.46 seconds
