trainingLoss, validationLoss
3.9864, 1.2397
1.2712, 1.0859
1.1532, 1.0192
1.0855, 0.9740
1.0335, 0.9414
0.9959, 0.9203
0.9653, 0.9026
0.9411, 0.8893
0.9285, 0.8812
0.9044, 0.8710
0.8922, 0.8595
0.8736, 0.8540
0.8603, 0.8499
0.8457, 0.8392
0.8371, 0.8372
0.8254, 0.8341
0.8149, 0.8290
0.8063, 0.8262
0.7939, 0.8228
0.7836, 0.8194
0.7747, 0.8180
0.7648, 0.8138
0.7561, 0.8131
0.7475, 0.8101
0.7407, 0.8086
0.7349, 0.8082
0.7248, 0.8069
0.7157, 0.8058
0.7110, 0.8047
0.7053, 0.8029
0.6964, 0.8022
0.6909, 0.8012
0.6852, 0.7992
0.6795, 0.8007
0.6719, 0.8012
0.6677, 0.7988
0.6616, 0.8000
0.6570, 0.8006
0.6529, 0.8011
0.6478, 0.8028
0.6457, 0.7994
Training time: 154.57 seconds
