trainingLoss, validationLoss
2.0490, 1.0180
1.0924, 0.9621
1.0338, 0.9284
0.9988, 0.9018
0.9737, 0.9005
0.9516, 0.8916
0.9281, 0.8923
0.9100, 0.8653
0.8975, 0.8649
0.8815, 0.8593
0.8627, 0.8745
0.8540, 0.8516
0.8417, 0.8472
0.8281, 0.8431
0.8148, 0.8445
0.8026, 0.8410
0.7876, 0.8445
0.7772, 0.8342
0.7690, 0.8361
0.7562, 0.8353
0.7389, 0.8353
0.7265, 0.8359
0.7123, 0.8288
0.7025, 0.8318
0.6928, 0.8260
0.6770, 0.8247
0.6645, 0.8323
0.6567, 0.8322
0.6427, 0.8358
0.6301, 0.8398
0.6229, 0.8273
Training time: 79.67 seconds
