trainingLoss, validationLoss
2.1867, 1.0879
1.1572, 1.0165
1.0814, 0.9680
1.0389, 0.9439
1.0090, 0.9379
0.9848, 0.9159
0.9640, 0.9045
0.9478, 0.8949
0.9269, 0.8979
0.9166, 0.8951
0.9009, 0.8786
0.8889, 0.8682
0.8759, 0.8688
0.8656, 0.8567
0.8540, 0.8535
0.8433, 0.8473
0.8356, 0.8433
0.8274, 0.8451
0.8155, 0.8387
0.8059, 0.8424
0.7949, 0.8421
0.7869, 0.8333
0.7788, 0.8326
0.7686, 0.8286
0.7606, 0.8306
0.7501, 0.8258
0.7424, 0.8311
0.7342, 0.8261
0.7245, 0.8308
0.7178, 0.8365
0.7091, 0.8331
Training time: 81.88 seconds
