trainingLoss, validationLoss
3.0572, 1.0903
1.1581, 1.0037
1.0765, 0.9575
1.0305, 0.9313
0.9949, 0.9115
0.9665, 0.9054
0.9469, 0.8829
0.9236, 0.8782
0.9076, 0.8709
0.8873, 0.8655
0.8737, 0.8549
0.8628, 0.8612
0.8472, 0.8497
0.8337, 0.8440
0.8190, 0.8405
0.8129, 0.8379
0.8028, 0.8349
0.7887, 0.8290
0.7835, 0.8295
0.7676, 0.8241
0.7560, 0.8235
0.7461, 0.8231
0.7346, 0.8212
0.7256, 0.8165
0.7147, 0.8169
0.7032, 0.8216
0.6913, 0.8153
0.6829, 0.8164
0.6745, 0.8168
0.6665, 0.8166
0.6554, 0.8131
0.6470, 0.8157
0.6410, 0.8129
0.6311, 0.8159
0.6250, 0.8197
0.6175, 0.8181
0.6115, 0.8194
0.6029, 0.8229
Training time: 82.93 seconds
